STATE,TIN,YEAR,agg,rev,cap,soc
Andhra Pradesh ,37,2010,100635.64,78534.26,22101.38,39130
Arunachal Pradesh,12,2010,5579.12,3744.24,1834.88,1570
Assam,18,2010,25946.97,22951.82,2995.15,10240
Bihar,10,2010,50704.52,38215.92,12488.6,19370
Chhattisgarh,22,2010,23564.68,19355.75,4208.93,11820
Goa,30,2010,6228.9,4783.79,1445.11,2090
Gujarat,24,2010,71606.61,57440,14166.61,28590
Haryana,6,2010,34434.23,28310.18,6124.05,13640
Himachal Pradesh,2,2010,16131.28,13246.09,2885.19,6020
Jammu & Kashmir,1,2010,25568.92,18466.81,7102.11,7430
Jharkhand,20,2010,26502.04,20242.58,6259.46,12300
Karnataka,29,2010,71934.09,54033.85,17900.24,28690
Kerala,32,2010,40765.26,34664.81,6100.45,13620
Madhya Pradesh,23,2010,60055.18,45011.59,15043.59,23450
Maharashtra,27,2010,130155.42,106459.37,23696.05,53830
Manipur,14,2010,6114.87,4077.99,2036.88,1930
Meghalaya,17,2010,4770.19,4012.72,757.47,1750
Mizoram,15,2010,4139.5,3400.44,739.06,1600
Nagaland,13,2010,5576.04,4187.82,1388.22,1580
Odisha,21,2010,36051.31,29367.94,6683.37,15240
Punjab,3,2010,37060.03,32897.18,4162.85,8350
Rajasthan,8,2010,53703.32,44873.35,8829.97,22790
Sikkim,11,2010,3437.58,2907.53,530.05,1060
Tamil Nadu,33,2010,90881.74,72916.3,17965.44,36490
Tripura,16,2010,5624.33,4359.34,1264.99,2160
Uttar Pradesh,9,2010,134585.83,107675.61,26910.22,50670
Uttarakhand,5,2010,14009.97,11621.08,2388.89,5950
West Bengal,19,2010,72962.17,64538.19,8423,30560
Andhra Pradesh ,37,2011,115881.55,90415.36,25466.19,45400
Arunachal Pradesh,12,2011,6665.17,4417.86,2247.31,2160
Assam,18,2011,30268.93,26528.56,3740.37,11190
Bihar,10,2011,60180.03,46499.48,13680.55,24050
Chhattisgarh,22,2011,28720.69,22628.04,6092.65,14810
Goa,30,2011,6953.57,5482.08,1471.49,2300
Gujarat,24,2011,79414.19,59744.46,19669.73,30350
Haryana,6,2011,39751.43,32014.89,7736.54,16270
Himachal Pradesh,2,2011,17328.51,13897.97,3430.54,6000
Jammu & Kashmir,1,2011,29856.23,22680.48,7175.75,8740
Jharkhand,20,2011,26007.07,20991.58,5015.49,10720
Karnataka,29,2011,85756.16,65115.07,20641.09,32370
Kerala,32,2011,53789.14,46044.62,7744.52,18740
Madhya Pradesh,23,2011,80658.96,52693.71,27965.25,27130
Maharashtra,27,2011,148728.37,123554.19,25174.18,61130
Manipur,14,2011,6862.64,5005.22,1857.42,2020
Meghalaya,17,2011,5945.06,4834.81,1110.25,2340
Mizoram,15,2011,5638.11,4875.66,762.45,1640
Nagaland,13,2011,6448.47,4875.66,1572.81,1610
Odisha,21,2011,42105.1,34660.23,7444.87,18050
Punjab,3,2011,36810.32,33045.32,3765,9970
Rajasthan,8,2011,65372.08,53653.31,11718.77,27850
Sikkim,11,2011,3943.73,3230.14,713.59,1450
Tamil Nadu,33,2011,109465.27,83838.04,25627.23,41900
Tripura,16,2011,6437.75,4809.08,1628.67,2690
Uttar Pradesh,9,2011,153712.31,123885.17,29827.14,59720
Uttarakhand,5,2011,16232.36,12975.33,3257.03,7380
West Bengal,19,2011,83830.88,73326.37,10504.51,35610
Andhra Pradesh ,37,2012,129440.92,102702.38,26738.54,49440
Arunachal Pradesh,12,2012,6353.56,4786.24,1567.32,1940
Assam,18,2012,33747.64,29136.92,4610.72,12300
Bihar,10,2012,69206.57,54466.14,14740.43,30740
Chhattisgarh,22,2012,34819.25,26971.84,7847.41,16970
Goa,30,2012,7346.45,6061.34,1285.11,2500
Gujarat,24,2012,98281.32,69658.49,28622.83,38060
